tstep_number|time|error_1|error_2
392|1.176|1.3956013078751225e-06|8.001274399736745e-06
393|1.179|1.3586840500671614e-06|7.771638170510008e-06
394|1.182|1.3227348110351957e-06|7.548592491105875e-06
395|1.185|1.2877284784114436e-06|7.33194821309048e-06
396|1.188|1.2536405825086539e-06|7.1215216164707335e-06
397|1.191|1.2204472803413341e-06|6.9171342540810155e-06
398|1.194|1.1881253398921303e-06|6.7186128001352595e-06
399|1.197|1.156652124554609e-06|6.525788903367103e-06
400|1.2|1.1260055782316201e-06|6.338499044081223e-06
401|1.203|1.0961642106258546e-06|6.156584395645541e-06
402|1.206|1.0671070830701187e-06|5.979890689737979e-06
403|1.209|1.0388137945050262e-06|5.808268085543052e-06
404|1.212|1.011264467947706e-06|5.6415710427042496e-06
405|1.215|9.84439737153359e-07|5.479658197791842e-06
406|1.218|9.58320733741017e-07|5.322392244494543e-06
407|1.221|9.328890747404186e-07|5.169639817262918e-06
408|1.224|9.081268500961517e-07|5.021271378101263e-06
409|1.227|8.840166107827789e-07|4.8771611067248915e-06
410|1.23|8.605413570668462e-07|4.737186793903247e-06
411|1.233|8.376845272045178e-07|4.601229737803139e-06
412|1.236|8.154299862447796e-07|4.469174643327671e-06
413|1.239|7.93762015255067e-07|4.340909524346233e-06
414|1.242|7.726653006877277e-07|4.216325608724354e-06
415|1.245|7.521249241826814e-07|4.095317246096383e-06
416|1.248|7.321263523998633e-07|3.977781818254928e-06
417|1.251|7.126554272985347e-07|3.863619652122807e-06
418|1.254|6.936983565136245e-07|3.7527339351759966e-06
419|1.257|6.752417042687772e-07|3.6450306335609945e-06
420|1.26|6.572723819443933e-07|3.5404184120409154e-06
421|1.263|6.397776394790649e-07|3.43880855675509e-06
422|1.266|6.22745056679568e-07|3.340114899930525e-06
423|1.269|6.061625347381336e-07|3.2442537467451757e-06
424|1.272|5.900182882025199e-07|3.151143804542255e-06
425|1.275|5.743008367339667e-07|3.0607061136210943e-06
426|1.278|5.589989975515232e-07|2.972863980538842e-06
427|1.281|5.441018776604879e-07|2.887542912899924e-06
428|1.284|5.295988664497e-07|2.8046705562024793e-06
429|1.287|5.154796286093552e-07|2.7241766325508836e-06
430|1.29|5.017340968825516e-07|2.645992880997587e-06
431|1.293|4.8835246542291e-07|2.5700529997481106e-06
432|1.296|4.75325182928721e-07|2.4962925898078486e-06
433|1.299|4.626429461887786e-07|2.4246491004460965e-06
434|1.302|4.502966937326224e-07|2.355061776147607e-06
435|1.305|4.3827759952408295e-07|2.287471605024791e-06
436|1.308|4.265770671009623e-07|2.2218212688977403e-06
437|1.311|4.1518672352129475e-07|2.158055094539511e-06
438|1.314|4.0409841378554496e-07|2.0961190066617515e-06
